后,xù,xú,,,,,,
葫,ho,xo,,,,,,
䉉,ko,xo,,,,,,
瓠,xo,xò,,,,,,
謼,ho,hò,,,,,,
雇,kò,xó,,,,,,
婟,xò,xó,,,,,,
㕆,xó,tó,,,,,,下古反非丁古反
䶜,kok,xuk,,,,,,
豰,huk,brök,,,,,,許卜反非評卜反
𦞦,hak,huk,,,,,,
啒,kuot,huot,,,,,,
尳,kuot,xuot,,,,,,
嚛,huk,hok,,,,,,
鷨,hwa,xwa,,,,,,
譁,hwa,xwa,,,,,,
嘩,hwa,xwa,,,,,,
詿,kwè,xwè,,,,,,
崋,xwa,xwà,,,,,,
樺,xwa,xwà,,,,,,
檴,xuak,xwà,,,,,,
匕,pí,hwà,,,,,,同“化”
諣,hwè,hwà,,,,,,
夥,xuö́,xwé,,,,,,
䴹,kuö́,xwá,,,,,,
頢,kuat,xwat,,,,,,
姡,xuat,xwat,,,,,,
懽,kuàn,huan,,,,,,
鄺,kuáng,huang,,,,,,
絙,këng,xuan,,,,,,
峘,xëng,xuan,,,,,,
葟,xuang,xuang,,,,,,
𧧮,huang,hüáng,,,,,,
𣆖,huang,huáng,,,,,,
詤,hüáng,huáng,,,,,,
謊,hüáng,huáng,,,,,,
綄,xuan,xuán,,,,,,
荒,huang,huàng,,,,,,
垸,xuan,xuàn,,,,,,
𡅻,hàn,huàn,,,,,,
擐,kwan,xwàn,,,,,,
轘,xwan,xwàn,,,,,,
䍺,xwan,xwàn,,,,,,
櫰,kuöi,xwäi,,,,,,
壞,kwä̀i,xwä̀i,,,,,,
畫,xwè,xwek,,,,,,
鱯,xò,xwek,,,,,,
繣,xwè,hwek,,,,,,
劃,xwek,hwek,,,,,,
湱,hwäk,hwek,,,,,,
蘳,xwá,hvï,,,,,,
槐,xwäi,xuöi,,,,,,
瑰,kuöi,xuöi,,,,,,
鑴,hvï,xvei,,,,,,
窐,kvei,xvei,,,,,,
讗,kwek,xvei,,,,,,
觿,hvï,xvei,,,,,,
蛕,xuöi,huö́i,,,,,,
㷄,kuàn,huö́i,,,,,,
毁,hüḯ,hüï̀,,,,,,
䁤,hví,hvì,,,,,,
婎,hvi,hvì,,,,,,
卉,hüë́i,hüë̀i,,,,,,
會,kuàj,xuàj,,,,,,
禬,kuàj,xuàj,,,,,,
渙,huàn,huàj,,,,,,
䕇,kuöi,xuö́i,,,,,,
悔,huö́i,huö̀i,,,,,,
秏,hàu,huö̀i,,,,,,
迴,xuöi,xuö̀i,,,,,,
詯,huö̀i,xuö̀i,,,,,,
